LLM,Benchmark,Max,Mean,STD,Q10,Q25,Q50,Q75,Q90,Skew,Kurt
ministral3-3b,olympiadbench-test,0.7764327536400472,0.8225052831578743,0.8076979003082649,0.80990325520076,0.8229754357393513,0.8327880532774967,0.8259320653754435,0.81296409391419,0.8228857674635026,0.8198806684891138
ministral3-3b,matscibench-test,0.693731030873888,0.6602197802197802,0.6738409209837781,0.6437833594976452,0.6477184720041862,0.6443432757718471,0.6464364207221349,0.6657613814756673,0.6410047095761382,0.6456828885400314
ministral3-8b,gsm-test,0.7680831400064128,0.7973650955317906,0.7969595805277353,0.7745525189083159,0.7788622946490881,0.7967898300609215,0.7923103038533356,0.7891133367283426,0.7595767555027443,0.7440540183707727
ministral3-8b,mathhendrycks-test,0.795902600170503,0.7653985507246376,0.7897485080988917,0.8034153878942881,0.7932917732310315,0.7577525575447569,0.7409686700767263,0.7597772804774083,0.7094256180733163,0.7052962489343564
ministral3-8b,gpqa-test,0.5570402298850575,0.603448275862069,0.6062643678160919,0.6307183908045977,0.6033045977011495,0.5982758620689655,0.607155172413793,0.6030172413793103,0.6019252873563219,0.6042241379310345
ministral3-8b,scibench-test,0.6324561403508772,0.6011977058029689,0.6157557354925776,0.6098599865047234,0.602361673414305,0.6029520917678812,0.5940367746288799,0.6013157894736841,0.566388326585695,0.5663545883940622
ministral3-8b,svamp-test,0.8309352517985612,0.8276651406147808,0.8266841072596468,0.8459777632439502,0.8691955526487901,0.8449967298888162,0.8284826684107259,0.8222694571615435,0.8304447351209941,0.828809679529104
ministral3-8b,livemathbench-test,0.6019536019536019,0.4920634920634921,0.5164835164835165,0.5372405372405373,0.5311355311355311,0.5054945054945055,0.4786324786324786,0.49694749694749696,0.46764346764346765,0.4700854700854701
ministral3-8b,gsmsymbolic-test,0.7615671375570776,0.7380059435179671,0.7486382023029581,0.6584214314075838,0.6850629560005955,0.7084108844550328,0.7209384926543577,0.7307797299980148,0.7086220173838594,0.6998424548962676
ministral3-8b,theoremqa-test,0.6738107416879795,0.5999196200219218,0.6213664596273291,0.577544757033248,0.5831932773109243,0.5843843624406284,0.5862038728534892,0.6033613445378151,0.5651516258677385,0.5658969674826453
ministral3-8b,olympiadbench-test,0.7712218331827255,0.798118104694303,0.7903449623332304,0.7943414365548616,0.8032957590747718,0.8108202319287205,0.7988130471561756,0.7896899846135742,0.7906491384267658,0.7855425324769038
ministral3-8b,matscibench-test,0.6473070723271205,0.6497411970547496,0.6624383368569415,0.6310903744744963,0.6313738831782135,0.6327630758264279,0.6365377917102055,0.652989396774481,0.6267648416806396,0.6306995374758005
llama3-8b,gsm-test,0.751999238385377,0.7318943432804819,0.7601995776500727,0.7541758983590666,0.7537950910475663,0.7097296268088347,0.711019178840961,0.7470227792009971,0.6456631240047082,0.6378046458492003
llama3-8b,mathhendrycks-test,0.8403548381931436,0.5557156810939777,0.6430641623032458,0.6763222366335206,0.6613985364525788,0.5812557044723063,0.5090711117516132,0.5784214824422347,0.4448287457366574,0.4494403612432146
llama3-8b,gpqa-test,0.595873786407767,0.445118662351672,0.4693905070118662,0.6310005393743258,0.5255528586839266,0.43723031283710895,0.43527508090614886,0.46622168284789645,0.43257820927723833,0.4388484358144552
llama3-8b,scibench-test,0.733551510676965,0.5408763062244435,0.613101999091322,0.5783308723307587,0.5795519082235348,0.5467401181281236,0.49231883234893226,0.5496933212176283,0.425843366651522,0.4262551113130395
llama3-8b,svamp-test,0.8289462618787319,0.8140610545790935,0.8233117483811285,0.8299554284753174,0.8293667479606426,0.7952232781094946,0.7998486250105121,0.8078378605668153,0.7131443949205282,0.6907745353628795
llama3-8b,livemathbench-test,0.65284178187404,0.5161290322580645,0.5130568356374808,0.6036866359447004,0.5745007680491552,0.5023041474654378,0.5069124423963134,0.5176651305683564,0.5099846390168971,0.5084485407066053
llama3-8b,gsmsymbolic-test,0.754984995331326,0.7252906311947311,0.7493252642669184,0.7161292448731967,0.7419714287140924,0.7095190017526253,0.6987736616884123,0.7371487634255585,0.6523704380564336,0.6476545281144049
llama3-8b,theoremqa-test,0.6507357962305381,0.5537165391969407,0.5843604889374487,0.6113510652827097,0.6044540426113084,0.5621073477192025,0.5306951652553947,0.5657436492761541,0.5090822179732314,0.5118990712919966
llama3-8b,olympiadbench-test,0.7465018692301824,0.5263497876452786,0.5875028610666055,0.5753363342743063,0.5860685130083161,0.537224383916991,0.4946364538033112,0.5392182294448259,0.4538745199766028,0.4578164339665828
llama3-8b,matscibench-test,0.7053283100107642,0.5468693936132041,0.6028211338356655,0.5734997308934338,0.5630830642267671,0.5344456404736275,0.5174975331898098,0.5703937926085396,0.4789984750627915,0.48596160746322214
gemma3-4b,gsm-test,0.726726553062431,0.7117613797003111,0.7315778651656515,0.7353946590587812,0.7425334772663017,0.7275490271673477,0.6955046649703138,0.6943866142339424,0.6241486107898322,0.6087400724805305
gemma3-4b,mathhendrycks-test,0.8453021776364081,0.6455631677677187,0.713033194682326,0.8012600929777343,0.8099461707854172,0.771959872767311,0.6560435527281625,0.6080050566837942,0.4842590327053258,0.46996574504526556
