llm,group,benchmark,auroc,aee,n,in_domain
llama3-8b,intermediate,gpqa-test,0.585356,0.163393,448,0
llama3-8b,intermediate,scibench-test,0.788421,0.096599,139,1
llama3-8b,intermediate,theoremqa-test,0.641329,0.003304,747,0
llama3-8b,intermediate,livemathbench-test,0.482335,0.084996,100,0
llama3-8b,intermediate,matscibench-test,0.718705,0.150062,1025,0
oss-20b,extremes,gsm-test,0.784722,0.111551,264,1
oss-20b,extremes,gsmsymbolic-test,0.709314,0.109464,5000,0
oss-20b,extremes,svamp-test,0.786062,0.099962,300,0
oss-20b,extremes,mathhendrycks-test,0.827430,0.045287,500,0
oss-20b,extremes,olympiadbench-test,0.871762,0.073351,288,1
oss-20b,extremes,gpqa-test,0.681764,0.146643,448,0
oss-20b,extremes,scibench-test,0.546691,0.303548,692,0
oss-20b,extremes,theoremqa-test,0.560099,0.126747,747,0
oss-20b,extremes,livemathbench-test,0.683794,0.190759,100,0
oss-20b,extremes,matscibench-test,0.671976,0.325547,1025,0
oss-20b,intermediate,gsm-test,0.721226,0.237526,1319,0
oss-20b,intermediate,gsmsymbolic-test,0.706771,0.216911,5000,0
oss-20b,intermediate,svamp-test,0.798619,0.203425,300,0
oss-20b,intermediate,mathhendrycks-test,0.839962,0.156469,100,1
oss-20b,intermediate,olympiadbench-test,0.835205,0.150771,1438,0
oss-20b,intermediate,gpqa-test,0.663261,0.228508,448,0
oss-20b,intermediate,scibench-test,0.553231,0.137401,139,1
oss-20b,intermediate,theoremqa-test,0.565485,0.012378,747,0
oss-20b,intermediate,livemathbench-test,0.614342,0.305527,100,0
oss-20b,intermediate,matscibench-test,0.638085,0.218800,1025,0
