llm,composition,es_mae,atc_mean,atc_std,atc_max,atc_q10,atc_q25,atc_q50,atc_q75,atc_q90,atc_skewness,atc_kurtosis,atc_se_sum,atc_nll_avg,atc_nll_max,atc_nll_sum,atc_lntp,atc_mtp,atc_ppl
phi3-3b,mathhendrycks-test+matscibench-test+olympiadbench-test+theoremqa-test,0.1148754038857979,0.07811982624390895,0.05261880017563024,0.05794856457333412,0.06470903330732465,0.43221580414397537,0.0770715576714898,0.1166694294371962,0.09751365123645601,0.19066680916445175,0.20657654502037648,0.10467622385290518,0.08732361898391774,0.08573735115181975,0.10171131421548676,0.10651061174331515,0.08573735115181975,0.08732361898391774
phi3-3b,livemathbench-test+mathhendrycks-test+matscibench-test+olympiadbench-test,0.132577741712026,0.09104596448910988,0.062372201705652566,0.05681356130687372,0.06743195304459164,0.4320889903067256,0.07174745347253872,0.13130031200128545,0.10859561479231024,0.20593263040827908,0.22079224013040308,0.09691246083055073,0.09562956147907517,0.09829337388645644,0.09365224970482486,0.10373043164078624,0.09829337388645644,0.09562956147907517
phi3-3b,gpqa-test+mathhendrycks-test+scibench-test+theoremqa-test,0.1076758035242696,0.08066137610729998,0.05373231431266264,0.06138001248953997,0.07161585840573463,0.07029757503556205,0.0918793279429391,0.10512039327142067,0.091718693204399,0.18083563893080618,0.2014873712845572,0.09458168839257043,0.08262540504722352,0.06617798184401452,0.09688893236143985,0.10938877760563984,0.06617798184401452,0.08262540504722352
phi3-3b,gpqa-test+livemathbench-test+mathhendrycks-test+scibench-test,0.0947740903426063,0.08441983093837695,0.05994064576795695,0.05976331712644256,0.07992758720470017,0.08575488211157632,0.09426014341449289,0.11388121222435144,0.10065278834275718,0.18950827622868466,0.20536712282772468,0.08897117018516504,0.08762428455465208,0.06119296471079154,0.08620396277203955,0.10479109989587346,0.06119296471079154,0.08762428455465208
phi3-3b,gpqa-test+mathhendrycks-test+matscibench-test+scibench-test,0.1026879611581853,0.08987294082166772,0.05885838219013367,0.06377515062679723,0.07007615044613022,0.06445446403990844,0.09097176560959405,0.13708563114402456,0.10417123707761436,0.20678381419462336,0.21819464520185922,0.09921769381961994,0.08553412609719037,0.06902186570571833,0.0987403710675952,0.11041749124920433,0.06902186570571833,0.08553412609719037
phi3-3b,gpqa-test+livemathbench-test+mathhendrycks-test+theoremqa-test,0.104545442993329,0.06805588779076951,0.0480469699730365,0.05801099048429257,0.06725053663740829,0.0636637039531113,0.08330694906472921,0.09404549927202836,0.07778712055477492,0.1671940226032349,0.1837194788704402,0.09772436082349266,0.07516783663233771,0.06728294201744081,0.09348917069066384,0.10759742104191614,0.06728294201744081,0.07516783663233771
phi3-3b,gpqa-test+mathhendrycks-test+matscibench-test+theoremqa-test,0.1071816986263906,0.07505032696518714,0.04432355817300452,0.055261263843206475,0.06419364623652442,0.057957510993657146,0.08176816196232206,0.10662323140613661,0.09290843709403585,0.18141136684206163,0.19951286679289365,0.10341604253491313,0.07879771851118722,0.07427294493943366,0.10432077847678314,0.11174622927772133,0.07427294493943366,0.07879771851118722
phi3-3b,gpqa-test+livemathbench-test+mathhendrycks-test+matscibench-test,0.1185385647635235,0.08227892381490721,0.053091416470534114,0.05836700040411098,0.06557052922014302,0.4325050251754927,0.07577814029364074,0.12421289807478442,0.0987120761603768,0.1998014719175977,0.2116896287405705,0.09910496274727479,0.0824272467217396,0.07511967272023165,0.09692196263685121,0.12965815404399283,0.07511967272023165,0.0824272467217396
phi3-3b,livemathbench-test+mathhendrycks-test+scibench-test+theoremqa-test,0.1116296418959618,0.08805230812693329,0.062128305221097045,0.06332750466330365,0.07579365182896468,0.06754220058165965,0.08704315669028044,0.11593408081093652,0.10403605312390643,0.18566107899980602,0.2033055617610297,0.09511208908386154,0.0927640848359029,0.06317643057440156,0.09446381841700979,0.0940601226268662,0.06317643057440156,0.0927640848359029
phi3-3b,mathhendrycks-test+matscibench-test+scibench-test+theoremqa-test,0.1081375627662283,0.09092469436992733,0.06218879126334067,0.06321081417908085,0.07094271380411313,0.06561640811244562,0.09465893037114072,0.1324712167820706,0.1061168211732805,0.19907289452111318,0.21460376098086362,0.10309008930601345,0.09311096467159041,0.07076717628421883,0.10422212149365626,0.11129885611587897,0.07076717628421883,0.09311096467159041
phi3-3b,livemathbench-test+mathhendrycks-test+matscibench-test+scibench-test,0.0995543947296447,0.10408234031893,0.07380691630645637,0.06485799926161089,0.07575439089683941,0.44320033468853837,0.09061027292088374,0.14551244166208285,0.11794237331771688,0.2129741626440811,0.229261266863081,0.09903029589484533,0.10139225647679884,0.06620801276846032,0.09783417267958858,0.0928573259729925,0.06620801276846032,0.10139225647679884
phi3-3b,livemathbench-test+mathhendrycks-test+matscibench-test+theoremqa-test,0.1075713148615277,0.08269573149459353,0.05297010815829668,0.05928228392188153,0.07105497790671829,0.4426648810463754,0.07732953618364728,0.12150035913220014,0.10133078907079651,0.19266523615044712,0.20987225865457587,0.10320063567560345,0.08795838287847937,0.07469995851304109,0.10314723318113887,0.09317221358865807,0.07469995851304109,0.08795838287847937
phi3-3b,gpqa-test+olympiadbench-test+scibench-test+theoremqa-test,0.1201115983845184,0.07324355595395722,0.04476871595074021,0.06449485096003893,0.06817761608439167,0.4183393938432346,0.08313030660255169,0.10309975486420533,0.08712361066379057,0.17867898495161233,0.19514321020322742,0.10237945135524193,0.07374532632116537,0.07154147841467207,0.1026546830723073,0.11372614576332056,0.07154147841467207,0.07374532632116537
phi3-3b,gpqa-test+livemathbench-test+olympiadbench-test+scibench-test,0.1341620784242034,0.07707114779342558,0.04842675655868934,0.061020841617028185,0.07834621663777237,0.4036846398745865,0.08302452802870768,0.11719682667252684,0.09286971043119847,0.1960388694839835,0.2092439748120253,0.09581925026415074,0.07939896220344829,0.06623594606267427,0.09636771405514935,0.1081058914597172,0.06623594606267427,0.07939896220344829
phi3-3b,gpqa-test+matscibench-test+olympiadbench-test+scibench-test,0.1496522385239374,0.08200104583968149,0.04771067704409752,0.06636611569243762,0.06897105860305391,0.40681287473600686,0.08671058281008327,0.132630509934879,0.09763273963036906,0.20604581459822735,0.21809215190298548,0.10905479095426503,0.07825105370923727,0.07218467507501486,0.10879981122720331,0.1154002073198167,0.07218467507501486,0.07825105370923727
phi3-3b,gpqa-test+livemathbench-test+olympiadbench-test+theoremqa-test,0.1502537655212725,0.06162725423347985,0.04808453726121291,0.057205147492482955,0.3968176441442153,0.40637328288037133,0.07044858963942509,0.08775253511107226,0.07317971215758559,0.16984104035928171,0.19157476385037836,0.09940041376068881,0.06789256736246954,0.07498231335801309,0.1012185358954097,0.10928791590897084,0.07498231335801309,0.06789256736246954
phi3-3b,gpqa-test+matscibench-test+olympiadbench-test+theoremqa-test,0.1493323319513561,0.06742533937742999,0.035587351741106936,0.05789104140570631,0.4001444980847199,0.40842412056071353,0.07425749049557047,0.10946308393410706,0.08375201784799405,0.19192108372646108,0.20414328413160354,0.10863755905894615,0.06873396524041406,0.08241612020945878,0.10688536138548137,0.11944917048891926,0.08241612020945878,0.06873396524041406
phi3-3b,gpqa-test+livemathbench-test+matscibench-test+olympiadbench-test,0.2392174146765792,0.0757027339299163,0.04134642704882733,0.06110291314590384,0.06504895023194733,0.39292945803148965,0.07032965637341121,0.12487407176762219,0.09220615075086872,0.20976277163608578,0.2274243406328237,0.10325085608246817,0.07418687077804133,0.08210940222568314,0.1043479071268916,0.1185080299043862,0.08210940222568314,0.07418687077804133
phi3-3b,livemathbench-test+olympiadbench-test+scibench-test+theoremqa-test,0.1182964464237449,0.08324540677805843,0.051114913667262486,0.06281934286450903,0.07210548560699194,0.4365499841069786,0.07844761807104708,0.1157859923307758,0.09652897919212873,0.1911580654517366,0.20480502472094914,0.09758416258973865,0.0856556250280753,0.06993976409361029,0.09908975589574806,0.09508584795238731,0.06993976409361029,0.0856556250280753
phi3-3b,matscibench-test+olympiadbench-test+scibench-test+theoremqa-test,0.1236334029788288,0.08609010903914201,0.05068501099401285,0.06734617975822459,0.0665662770674696,0.4321854037524802,0.09102094720730114,0.1325543712735417,0.09753301238720453,0.2046986232961469,0.22120768194329954,0.11137527616849549,0.08450772584000674,0.0762949086058439,0.11118067844809883,0.11328410337287172,0.0762949086058439,0.08450772584000674
phi3-3b,livemathbench-test+matscibench-test+olympiadbench-test+scibench-test,0.1490802605303607,0.09243925338961123,0.0601127672958162,0.06701028280853785,0.07184666030761715,0.42688539387122104,0.0868157901017655,0.14374551303253158,0.10678238249799517,0.21413123111739077,0.23209326424702897,0.10194131216364404,0.09309465113212265,0.07021476425435415,0.10401524129599289,0.09740708363238845,0.07021476425435415,0.09309465113212265
phi3-3b,livemathbench-test+matscibench-test+olympiadbench-test+theoremqa-test,0.1486214284390232,0.07690017354921364,0.04286908171372548,0.06154046222673857,0.4114263639137622,0.42805221973144336,0.07437765790334044,0.12097098957101245,0.09093580320423009,0.19951061647616938,0.216496235335081,0.10643672622838082,0.08061244364673084,0.08057175538782309,0.10369668924169466,0.09614410273414861,0.08057175538782309,0.08061244364673084
phi3-3b,gpqa-test+livemathbench-test+scibench-test+theoremqa-test,0.1259868355190427,0.07500731406171843,0.05483161956768007,0.08411140436157977,0.06998387272908545,0.06067333313204511,0.08267036962511361,0.10531293839540475,0.08527416518647149,0.18125713677572355,0.20051458744137904,0.11972371048691835,0.07701530592036276,0.0603049122240684,0.11793410901549069,0.1239081495381547,0.0603049122240684,0.07701530592036276
phi3-3b,gpqa-test+matscibench-test+scibench-test+theoremqa-test,0.1204531964253045,0.07662781630202997,0.04392436465903558,0.08223678280236725,0.06413465957367287,0.44825349813394866,0.09212557534417343,0.12833582937076385,0.09217076495188828,0.20031430950921508,0.21418815766972407,0.12624418847871735,0.07666752565951818,0.06737071282607063,0.12899676889948414,0.138399892646701,0.06737071282607063,0.07666752565951818
phi3-3b,gpqa-test+livemathbench-test+matscibench-test+scibench-test,0.1403303269182396,0.08617061401154594,0.05045695839728631,0.08498924016212067,0.07047680658871043,0.43652517600141183,0.08983842768759684,0.1414984215313193,0.10119626600995828,0.20990331245886046,0.22703919818944485,0.12032043886384067,0.08110930174688913,0.056993446178979654,0.12184825484325923,0.1105166994918173,0.056993446178979654,0.08110930174688913
phi3-3b,gpqa-test+livemathbench-test+matscibench-test+theoremqa-test,0.1411428139726,0.07016951276219123,0.04443354351003808,0.08361191425041929,0.4321830807195438,0.4322996715316651,0.07829314916942483,0.11359819372735172,0.08562684452358985,0.19400069501011646,0.20625710527913785,0.11557925119462147,0.07069595319954243,0.054717152167312655,0.11807069845063341,0.10671220651207321,0.054717152167312655,0.07069595319954243
phi3-3b,livemathbench-test+matscibench-test+scibench-test+theoremqa-test,0.1218899418321918,0.08931816707850782,0.05200046812976121,0.08520211511215697,0.0691993997349357,0.45263226195319667,0.09363842861129872,0.13760095070953585,0.10040010457894244,0.20660084237111928,0.2249070101614778,0.12279586061751895,0.086105398801576,0.05737046299492974,0.12085885303900001,0.13972510171585747,0.05737046299492974,0.086105398801576
ministral3-3b,gsm-test,0.2994030355131523,0.07115901554589592,0.07153349513414278,0.07318212957451872,0.09313254426071833,0.07852140684278161,0.06367541540801966,0.07658997754299987,0.07160814238602178,0.08798989281831555,0.08753643532203684,0.0814086972681041,0.21859324304433803,0.31804026227315035,0.05654670574184066,0.20993072047034259,0.31804026227315035,0.21859324304433803
ministral3-3b,gsmsymbolic-test,0.2820355207139523,0.08148089652915319,0.08106560362989004,0.10208314469778032,0.11178408383923384,0.10368794698092501,0.080692105357152,0.0750135299515392,0.07587454206890124,0.06953596418343412,0.06904703994622563,0.09199190786759251,0.15103899272973914,0.2882166646890593,0.06165018612903651,0.19953561610189302,0.2882166646890593,0.15103899272973914
ministral3-3b,svamp-test,0.37279144149131,0.08110832193255954,0.06880129535247173,0.09114424249933958,0.10148652211311315,0.08148677915355708,0.06773922641593519,0.10415703844681694,0.07576799659856512,0.12092529503721967,0.1075334351209177,0.12417587276585174,0.3295294381252548,0.4678666058981479,0.06750829054529163,0.33136099998950175,0.4678666058981479,0.3295294381252548
ministral3-3b,mathhendrycks-test,0.2143319488279934,0.059316839583476846,0.06492544842158177,0.06728513808062372,0.09758729322920064,0.08550987302100457,0.05863498445138143,0.062605751388423,0.06164416121470675,0.0741715290738197,0.06994580735889248,0.08301951026836435,0.22089557161147172,0.39273892534339844,0.05853222870956121,0.32351496805616786,0.39273892534339844,0.22089557161147172
ministral3-3b,olympiadbench-test,0.1121460992950096,0.0610452833994527,0.06487134292304568,0.07284259904812636,0.0916246868917147,0.08555855508230839,0.06106540063408241,0.05909410725815075,0.06200015040676785,0.06022518712591729,0.06015767239206345,0.0752689828635655,0.29649282787299525,0.20916420408091482,0.0578280310972336,0.2558594207185794,0.20916420408091482,0.29649282787299525
ministral3-3b,gpqa-test,0.3481489468377524,0.21299575381350805,0.2453857333222289,0.12887798271800763,0.25047023182990036,0.48271748623553645,0.17662191089054252,0.2057813098177844,0.2527570606646325,0.17976547332017706,0.1961521352441043,0.08425126340773145,0.23703328755261693,0.3416456680548717,0.1093208039324934,0.39828106313842737,0.3416456680548717,0.23703328755261693
ministral3-3b,scibench-test,0.1802796067585895,0.07012512943982946,0.06146998102003559,0.066609885450358,0.10100212310204867,0.08144778607056681,0.06395084822185516,0.07405545499962027,0.07592147377366121,0.10729227997943361,0.10815004999459595,0.09089359472843767,0.19159505317988537,0.2541031737261736,0.07096957891576564,0.39559266719591735,0.2541031737261736,0.19159505317988537
ministral3-3b,theoremqa-test,0.2211609103022629,0.1131363614189431,0.1308563902923517,0.09398697157450406,0.5204624711177974,0.528401016495545,0.11510222936471907,0.10129879811400584,0.11731435294770373,0.0895138591052577,0.09441227005739058,0.07061666854338708,0.1599715897387577,0.3511717339651158,0.052986356532594224,0.399589261851825,0.3511717339651158,0.1599715897387577
ministral3-3b,livemathbench-test,0.3949583107821116,0.12538836874013054,0.4807647119457329,0.46511850501605406,0.17403423645139832,0.1767121013101493,0.15880970640525366,0.1292507463895509,0.48082387584915953,0.15144260877472396,0.4916924969216557,0.07082772033224993,0.41548177012539333,0.46285003279177583,0.053621502389026895,0.28914311443761326,0.4627804917625687,0.41548177012539333
ministral3-3b,matscibench-test,0.2481542338970547,0.06544124130957855,0.0864505609637819,0.08321096431265942,0.16708660565885777,0.12141926422717053,0.06619788177416396,0.05419600703598495,0.06591298670570107,0.062051226904776026,0.060903946189237335,0.08254816308466176,0.16096312456769607,0.4042621074682103,0.06750067869764079,0.3944918462610392,0.4042621074682103,0.16096312456769607
ministral3-3b,gsm-test+gsmsymbolic-test,0.2561064489614298,0.07021915173614604,0.07672939402926761,0.09840996259797043,0.1068379472040826,0.09490603407779308,0.0712143673464731,0.06442130104356245,0.06909681486822403,0.06149108523421689,0.059351125279467974,0.08857931892234153,0.16006792416392573,0.2888630196512737,0.06204152881541589,0.2025411336973862,0.2888630196512737,0.16006792416392573
