llm,composition,weighted_acc,mae
ministral3-3b,livemathbench-test+mathhendrycks-test+theoremqa-test,0.5515320334261838,0.1380028545108329
ministral3-3b,mathhendrycks-test+matscibench-test+theoremqa-test,0.43478260869565216,0.1135887246874698
ministral3-3b,livemathbench-test+mathhendrycks-test+matscibench-test,0.3923076923076923,0.0888400318230819
ministral3-3b,gpqa-test+olympiadbench-test+scibench-test,0.28481319747695294,0.1266790626111393
ministral3-3b,gpqa-test+olympiadbench-test+theoremqa-test,0.3149643705463183,0.1282753326553825
ministral3-3b,gpqa-test+livemathbench-test+olympiadbench-test,0.241183879093199,0.114322108398415
ministral3-3b,gpqa-test+matscibench-test+olympiadbench-test,0.24871134020618557,0.1185892405651165
ministral3-3b,olympiadbench-test+scibench-test+theoremqa-test,0.3556521739130435,0.1373436507517867
ministral3-3b,livemathbench-test+olympiadbench-test+scibench-test,0.30173864273696016,0.1159960982855013
ministral3-3b,matscibench-test+olympiadbench-test+scibench-test,0.2909235037653587,0.1195553670029495
ministral3-3b,livemathbench-test+olympiadbench-test+theoremqa-test,0.33607006020799124,0.1249313961818583
ministral3-3b,matscibench-test+olympiadbench-test+theoremqa-test,0.3155434359174133,0.1277455539141372
ministral3-3b,livemathbench-test+matscibench-test+olympiadbench-test,0.25853658536585367,0.10970171343926
ministral3-3b,gpqa-test+scibench-test+theoremqa-test,0.363395225464191,0.1839318237318845
ministral3-3b,gpqa-test+livemathbench-test+scibench-test,0.2704339051463169,0.1808702860871301
ministral3-3b,gpqa-test+matscibench-test+scibench-test,0.268053148469093,0.1801960261451194
ministral3-3b,gpqa-test+livemathbench-test+theoremqa-test,0.3323671497584541,0.1593938672864613
ministral3-3b,gpqa-test+matscibench-test+theoremqa-test,0.30422535211267604,0.1673317688697932
ministral3-3b,gpqa-test+livemathbench-test+matscibench-test,0.2066772655007949,0.2784036400400353
ministral3-3b,livemathbench-test+scibench-test+theoremqa-test,0.4056910569105691,0.1833745108530876
ministral3-3b,matscibench-test+scibench-test+theoremqa-test,0.35279187817258884,0.1573857242856434
ministral3-3b,livemathbench-test+matscibench-test+scibench-test,0.2856159669649002,0.2004095323061941
ministral3-3b,livemathbench-test+matscibench-test+theoremqa-test,0.32798931195724784,0.1697707207214345
ministral3-8b,gsm-test+gsmsymbolic-test+svamp-test,0.8959395656279509,0.2335009285763495
ministral3-8b,gsm-test+gsmsymbolic-test+mathhendrycks-test,0.8881759853345554,0.2271124673911024
ministral3-8b,gsm-test+gsmsymbolic-test+olympiadbench-test,0.7888799355358582,0.0840761629716586
ministral3-8b,gpqa-test+gsm-test+gsmsymbolic-test,0.8499907629780159,0.1344996160310756
ministral3-8b,gsm-test+gsmsymbolic-test+scibench-test,0.8519971469329529,0.1557838704750263
ministral3-8b,gsm-test+gsmsymbolic-test+theoremqa-test,0.8611111111111112,0.1943686113934701
ministral3-8b,gsm-test+gsmsymbolic-test+livemathbench-test,0.8817916260954236,0.1776491019243598
ministral3-8b,gsm-test+gsmsymbolic-test+matscibench-test,0.8226382978723404,0.1129955252651699
ministral3-8b,gsm-test+mathhendrycks-test+svamp-test,0.903244837758112,0.2070471124700063
ministral3-8b,gsm-test+olympiadbench-test+svamp-test,0.6466257668711657,0.0662676822233079
ministral3-8b,gpqa-test+gsm-test+svamp-test,0.778584392014519,0.0993877609977727
ministral3-8b,gsm-test+scibench-test+svamp-test,0.7922077922077922,0.1318616395214787
ministral3-8b,gsm-test+svamp-test+theoremqa-test,0.8208245243128964,0.1834003019362914
ministral3-8b,gsm-test+livemathbench-test+svamp-test,0.8829090909090909,0.1322587728926429
ministral3-8b,gsm-test+matscibench-test+svamp-test,0.7182033096926714,0.0970310327308603
ministral3-8b,gsm-test+mathhendrycks-test+olympiadbench-test,0.6456813819577735,0.0729188441352329
ministral3-8b,gpqa-test+gsm-test+mathhendrycks-test,0.7655819084390513,0.0960188034265219
ministral3-8b,gsm-test+mathhendrycks-test+scibench-test,0.7793824701195219,0.1246054721561022
ministral3-8b,gsm-test+mathhendrycks-test+theoremqa-test,0.8060428849902534,0.1793993523625721
ministral3-8b,gsm-test+livemathbench-test+mathhendrycks-test,0.8566775244299675,0.1201152242270719
ministral3-8b,gsm-test+mathhendrycks-test+matscibench-test,0.7120879120879121,0.1073563877072861
ministral3-8b,gpqa-test+gsm-test+olympiadbench-test,0.5610612563402263,0.0780561249669185
ministral3-8b,gsm-test+olympiadbench-test+scibench-test,0.5855692530819434,0.0881380997573169
ministral3-8b,gsm-test+olympiadbench-test+theoremqa-test,0.6081370449678801,0.0796551090327654
ministral3-8b,gsm-test+livemathbench-test+olympiadbench-test,0.5973741794310722,0.0862652630796107
ministral3-8b,gsm-test+matscibench-test+olympiadbench-test,0.5520661157024793,0.0775993745026736
ministral3-8b,gpqa-test+gsm-test+scibench-test,0.6719226856561547,0.1027341981218108
ministral3-8b,gpqa-test+gsm-test+theoremqa-test,0.7014925373134329,0.1174904042282071
ministral3-8b,gpqa-test+gsm-test+livemathbench-test,0.7173476222371065,0.0887851630588189
ministral3-8b,gpqa-test+gsm-test+matscibench-test,0.6162113748320645,0.0912834307937589
ministral3-8b,gsm-test+scibench-test+theoremqa-test,0.7197278911564626,0.1548751414265455
ministral3-8b,gsm-test+livemathbench-test+scibench-test,0.7393364928909952,0.1121263882980118
ministral3-8b,gsm-test+matscibench-test+scibench-test,0.6396210873146623,0.1114422017525254
ministral3-8b,gsm-test+livemathbench-test+theoremqa-test,0.7719399538106235,0.1530792830185975
ministral3-8b,gsm-test+matscibench-test+theoremqa-test,0.6642394822006472,0.1191428486330609
ministral3-8b,gsm-test+livemathbench-test+matscibench-test,0.6664961636828645,0.0942597754856622
ministral3-8b,gsmsymbolic-test+mathhendrycks-test+svamp-test,0.8801724137931034,0.2349223270765252
ministral3-8b,gsmsymbolic-test+olympiadbench-test+svamp-test,0.7669758812615955,0.0789286538923463
ministral3-8b,gpqa-test+gsmsymbolic-test+svamp-test,0.8351457155284906,0.1206328812493882
ministral3-8b,gsmsymbolic-test+scibench-test+svamp-test,0.8380972251199666,0.1452392209288368
ministral3-8b,gsmsymbolic-test+svamp-test+theoremqa-test,0.8488732685548894,0.1891125110387309
ministral3-8b,gsmsymbolic-test+livemathbench-test+svamp-test,0.8719907407407408,0.1633895867938736
ministral3-8b,gsmsymbolic-test+matscibench-test+svamp-test,0.8047430830039526,0.1062921307424642
ministral3-8b,gsmsymbolic-test+mathhendrycks-test+olympiadbench-test,0.763063063063063,0.0793608346654245
ministral3-8b,gpqa-test+gsmsymbolic-test+mathhendrycks-test,0.8282891971416562,0.1230120307525026
